,Bid,Ask
2017-11-10 12:00:00.007,1.16395,1.16394
2017-11-10 12:00:00.053,1.16394,1.16394
2017-11-10 12:00:00.740,1.16394,1.16393
2017-11-10 12:00:00.746,1.16394,1.16391
2017-11-10 12:00:00.756,1.16394,1.16392
2017-11-10 12:00:00.761,1.16393,1.16392
2017-11-10 12:00:00.772,1.16393,1.16391
2017-11-10 12:00:00.783,1.16391,1.16391
2017-11-10 12:00:00.819,1.16391,1.16392
2017-11-10 12:00:00.833,1.16391,1.16391
2017-11-10 12:00:00.843,1.16392,1.16391
2017-11-10 12:00:00.859,1.16392,1.1639
2017-11-10 12:00:00.894,1.16392,1.16391
2017-11-10 12:00:01.349,1.16391,1.16391
2017-11-10 12:00:01.372,1.16391,1.1639
2017-11-10 12:00:01.394,1.1639,1.1639
2017-11-10 12:00:01.414,1.1638899999999999,1.1639
2017-11-10 12:00:01.480,1.1639,1.1639
2017-11-10 12:00:01.511,1.1639,1.16388
2017-11-10 12:00:01.520,1.1639,1.1638899999999999
2017-11-10 12:00:01.523,1.1639,1.1638700000000002
2017-11-10 12:00:01.525,1.16388,1.1638700000000002
2017-11-10 12:00:01.534,1.1638899999999999,1.1638700000000002
2017-11-10 12:00:01.536,1.16388,1.1638700000000002
2017-11-10 12:00:01.585,1.16388,1.16388
2017-11-10 12:00:01.623,1.1638899999999999,1.16388
2017-11-10 12:00:01.720,1.1638899999999999,1.1638899999999999
2017-11-10 12:00:01.832,1.1639,1.1638899999999999
2017-11-10 12:00:02.042,1.1639,1.1639
2017-11-10 12:00:02.114,1.1639,1.1638899999999999
2017-11-10 12:00:02.129,1.1639,1.16388
2017-11-10 12:00:02.144,1.1638899999999999,1.16388
2017-11-10 12:00:02.146,1.1638899999999999,1.1638899999999999
2017-11-10 12:00:02.164,1.1639,1.1638899999999999
2017-11-10 12:00:02.242,1.1638899999999999,1.1638899999999999
2017-11-10 12:00:03.617,1.1639,1.1638899999999999
2017-11-10 12:00:03.671,1.1639,1.1639
2017-11-10 12:00:03.829,1.1638899999999999,1.1639
2017-11-10 12:00:04.482,1.1639,1.1639
2017-11-10 12:00:04.713,1.1639,1.16391
2017-11-10 12:00:05.034,1.16391,1.16391
2017-11-10 12:00:05.230,1.16391,1.16392
2017-11-10 12:00:05.235,1.16392,1.16392
2017-11-10 12:00:05.322,1.16392,1.16393
2017-11-10 12:00:05.330,1.16393,1.16393
2017-11-10 12:00:05.408,1.16392,1.16393
2017-11-10 12:00:05.419,1.16392,1.16392
2017-11-10 12:00:05.440,1.16392,1.16393
2017-11-10 12:00:05.474,1.16393,1.16392
2017-11-10 12:00:05.480,1.16392,1.16392
2017-11-10 12:00:05.497,1.16393,1.16392
2017-11-10 12:00:05.557,1.16392,1.16392
2017-11-10 12:00:05.729,1.16393,1.16392
2017-11-10 12:00:05.734,1.16393,1.16393
2017-11-10 12:00:05.813,1.16394,1.16394
2017-11-10 12:00:05.876,1.16395,1.16394
2017-11-10 12:00:05.885,1.16396,1.16394
2017-11-10 12:00:05.939,1.16396,1.16395
2017-11-10 12:00:06.262,1.16396,1.16396
2017-11-10 12:00:06.370,1.16396,1.16395
2017-11-10 12:00:08.572,1.16396,1.16396
2017-11-10 12:00:08.747,1.1639700000000002,1.16396
2017-11-10 12:00:08.778,1.1639700000000002,1.1639700000000002
2017-11-10 12:00:08.786,1.16396,1.1639700000000002
2017-11-10 12:00:08.802,1.16396,1.16396
2017-11-10 12:00:08.814,1.1639700000000002,1.16396
2017-11-10 12:00:08.900,1.16396,1.16396
2017-11-10 12:00:08.920,1.1639700000000002,1.16396
2017-11-10 12:00:09.209,1.1639700000000002,1.1639700000000002
2017-11-10 12:00:09.214,1.1639700000000002,1.16398
2017-11-10 12:00:09.263,1.1639700000000002,1.1639700000000002
2017-11-10 12:00:11.000,1.16396,1.1639700000000002
2017-11-10 12:00:14.411,1.16395,1.1639700000000002
2017-11-10 12:00:14.416,1.16395,1.16396
2017-11-10 12:00:17.502,1.16396,1.16396
2017-11-10 12:00:17.566,1.16396,1.1639700000000002
2017-11-10 12:00:17.599,1.16395,1.1639700000000002
2017-11-10 12:00:17.623,1.1639700000000002,1.1639700000000002
2017-11-10 12:00:17.713,1.16395,1.1639700000000002
2017-11-10 12:00:18.071,1.16396,1.1639700000000002
2017-11-10 12:00:18.486,1.1639700000000002,1.1639700000000002
2017-11-10 12:00:18.492,1.1639700000000002,1.16398
2017-11-10 12:00:18.500,1.16398,1.16398
2017-11-10 12:00:18.888,1.16398,1.1639700000000002
2017-11-10 12:00:18.914,1.1639700000000002,1.1639700000000002
2017-11-10 12:00:19.085,1.16396,1.1639700000000002
2017-11-10 12:00:24.838,1.1639700000000002,1.1639700000000002
2017-11-10 12:00:24.851,1.16398,1.1639700000000002
2017-11-10 12:00:24.894,1.16398,1.16398
2017-11-10 12:00:25.991,1.1639899999999999,1.16398
